Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
02-107,Tar,34.4615,-120.09565,Tajiguas,Training,n/a,14,< 5,-22.3,0.53,5.8,1.3,4,0.73,0.95,0.85,0.22,0.3,0.64,0.88,0.43,0.67,1,0.52,0.1,0.08,0.25
02-108,Tar,34.46287,-120.09909,Tajiguas,Training,n/a,22,< 5,-23.1,0.17,5,1.3,116,3.4,5.2,0.59,0.08,0.85,0.34,0.79,0.49,0.56,2.2,2.7,0.03,0.13,0.09
02-112,Tar,34.55471,-120.61026,Boathouse,Training,n/a,22,< 5,-22.9,0.23,3.5,1.2,51,2.1,2.5,0.8,0.15,0.54,0.4,0.75,0.49,0.67,1.9,1.7,0.03,0.11,0.11
02-121,Tar,34.68291,-120.60652,Surf,Training,n/a,33,< 5,-22.4,0.2,3.4,1.1,143,3.4,4,0.63,0.09,1.1,0.26,0.5,0.58,0.83,1.9,1.1,0.03,0.14,0.1
02-127,Tar,34.55465,-120.61083,Boathouse,Training,n/a,22,< 5,-23.1,0.24,3.3,1.2,50,2.1,2.5,0.81,0.17,0.51,0.43,0.74,0.49,0.71,1.7,1.6,0.03,0.12,0.11
02-135,Tar,34.40923,-119.76491,Arroyo Burro,Training,n/a,22,< 5,-23.6,0.15,4.2,1.3,28,5,7.3,0.67,0.08,0.84,0.31,0.76,0.47,0.59,2.2,2.9,0.03,0.14,0.1
02-136,Tar,34.41084,-119.77087,Arroyo Burro,Training,n/a,212,< 5,-23.1,0.34,4.4,1.3,36,1.7,1.8,0.87,0.2,0.38,0.56,0.75,0.4,0.67,1.1,0.85,0.06,0.09,0.18
02-137,Tar,34.40659,-119.7582,Arroyo Burro,Training,n/a,22,< 5,-23.3,0.24,3.2,1.2,46,2.1,2.4,0.84,0.16,0.51,0.42,0.74,0.48,0.67,1.8,1.7,0.03,0.12,0.12
02-141,Tar,34.41432,-119.88543,Coal Oil Point,Training,n/a,14,< 5,-22.5,0.48,5.8,1.2,6,0.75,1,0.85,0.19,0.33,0.6,0.88,0.46,0.63,1.3,0.64,0.09,0.08,0.24
02-146,Tar,34.4693,-120.29869,Sacate,Training,n/a,11,< 5,-22.4,0.77,7,1.3,1,0.5,0.64,0.92,0.28,0.23,0.73,0.95,0.35,0.53,0.61,0.26,0.13,0.05,0.38
02-147,Tar,34.47055,-120.29531,Sacate,Training,n/a,22,< 5,-23.1,0.25,3.3,1.3,42,2,2.4,0.81,0.17,0.53,0.44,0.74,0.45,0.71,1.6,1.6,0.04,0.11,0.11
02-151,Tar,34.41044,-119.76904,Arroyo Burro,Training,n/a,211,< 5,-22.3,0.38,5.1,1.2,9,0.95,1.4,0.84,0.18,0.4,0.59,0.81,0.46,0.71,1.4,0.83,0.07,0.08,0.15
02-152,Tar,34.4093,-119.87168,Coal Oil Point,Training,n/a,211,< 5,-22.8,0.38,5.1,1.2,10,1.1,1.4,0.84,0.2,0.38,0.57,0.85,0.5,0.67,1.4,0.82,0.07,0.09,0.17
02-155,Tar,34.40945,-119.8814,Coal Oil Point,Training,n/a,211,< 5,-22.6,0.38,5,1.3,11,1.2,1.2,0.83,0.19,0.38,0.56,0.83,0.47,0.67,1.4,0.79,0.07,0.08,0.15
02-162,Tar,34.67904,-120.60759,Surf,Training,n/a,33,< 5,-22.6,0.21,3.5,1.1,91,2.9,3.8,0.63,0.09,1,0.26,0.7,0.56,0.83,1.8,1,0.03,0.13,0.11
02-166,Tar,34.88294,-120.63911,Casmalia,Training,n/a,33,< 5,-22.8,0.2,3.5,1.1,75,2.9,3.9,0.65,0.08,1.1,0.25,0.71,0.55,0.83,1.8,1.1,0.03,0.13,0.1
02-178,Tar,34.88328,-120.63898,Casmalia,Training,n/a,34,< 5,-22.9,0.21,2.8,1.2,111,4.2,5.2,0.62,0.1,0.91,0.29,0.66,0.51,0.67,2.2,0.82,0.03,0.14,0.1
02-186,Tar,34.67951,-120.60754,Surf,Training,n/a,22,< 5,-23.3,0.25,3.4,1.1,59,2.8,3.9,0.76,0.14,0.66,0.39,0.73,0.43,0.59,2.1,2.1,0.03,0.16,0.1
02-190,Tar,34.4618,-120.09725,Tajiguas,Training,n/a,22,< 5,-23.4,0.24,3.5,1.2,53,2,2.4,0.81,0.17,0.47,0.43,0.74,0.48,0.67,1.8,1.7,0.04,0.13,0.11
02-191,Tar,34.41983,-119.60212,Loon Point,Training,n/a,22,< 5,-23.5,0.24,3.5,1.2,45,1.9,2.3,0.81,0.16,0.53,0.43,0.73,0.47,0.67,1.7,1.6,0.03,0.12,0.11
02-208,Tar,34.55477,-120.61039,Boathouse,Training,n/a,22,< 5,-23.3,0.24,3.3,1.2,67,2.1,2.4,0.8,0.16,0.53,0.44,0.73,0.49,0.71,1.8,1.6,0.03,0.13,0.1
02-221,Tar,34.4705,-120.22057,Gaviota,Training,n/a,22,< 5,-23.3,0.24,3.6,1.2,35,2,2.4,0.8,0.15,0.5,0.42,0.75,0.49,0.71,1.8,1.6,0.04,0.12,0.11
02-225,Tar,34.47052,-120.29168,Sacate,Training,n/a,22,< 5,-23.2,0.24,3.4,1.1,31,2,2.5,0.81,0.16,0.54,0.43,0.78,0.5,0.67,1.8,1.5,0.04,0.12,0.11
02-226,Tar,34.47049,-120.29019,Sacate,Training,n/a,22,< 5,-23.2,0.24,3.3,1.2,53,2,2.3,0.78,0.17,0.52,0.45,0.73,0.48,0.67,1.8,1.5,0.03,0.12,0.1
02-228,Tar,34.46153,-120.09522,Tajiguas,Training,n/a,211,< 5,-23.2,0.42,5.4,1.2,10,1,1.2,0.82,0.17,0.4,0.59,0.84,0.5,0.67,1.4,0.76,0.07,0.08,0.18
02-230,Tar,34.41432,-119.58297,Loon Point,Training,n/a,22,< 5,-23.2,0.24,3.5,1.1,64,2,2.3,0.8,0.16,0.53,0.45,0.76,0.51,0.67,1.8,1.5,0.03,0.12,0.11
02-233,Tar,34.41015,-119.76872,Arroyo Burro,Training,n/a,212,< 5,-23,0.33,4.9,1.1,13,2.2,2.2,0.83,0.18,0.42,0.56,0.82,0.54,0.67,1.5,0.88,0.06,0.08,0.17
02-237,Tar,34.88575,-120.63904,Casmalia,Training,n/a,22,< 5,-23.3,0.24,3.4,1.3,42,2.4,2.9,0.8,0.16,0.51,0.43,0.74,0.49,0.67,1.9,1.5,0.03,0.11,0.12
02-242,Tar,34.51603,-120.50655,Jalama,Training,n/a,22,< 5,-23,0.23,2.9,1.4,43,1.9,2.4,0.86,0.17,0.51,0.42,0.71,0.39,0.71,1.4,1.9,0.03,0.12,0.13
02-250,Tar,34.68183,-120.6071,Surf,Training,n/a,212,< 5,-22.8,0.34,5.2,1.3,41,1.7,1.8,0.75,0.19,0.43,0.53,0.74,0.49,0.67,1.4,0.7,0.04,0.08,0.21
02-255,Tar,34.40558,-119.75487,Arroyo Burro,Training,n/a,35,< 5,-23.2,0.29,5,1.5,81,3.7,4.2,0.74,0.11,0.73,0.37,0.68,0.5,0.67,1.2,0.4,0.04,0.08,0.13
02-268,Tar,34.6795,-120.60729,Surf,Training,n/a,22,< 5,-23.4,0.24,3.3,1.2,85,2,2.4,0.78,0.16,0.51,0.42,0.73,0.48,0.67,1.8,1.7,0.03,0.12,0.12
02-271,Tar,34.40901,-119.87395,Coal Oil Point,Training,n/a,212,< 5,-23.2,0.28,3.8,1.3,41,1.9,2.1,0.82,0.16,0.49,0.45,0.76,0.5,0.67,1.6,1.1,0.04,0.1,0.14
03-2,Tar,34.55474,-120.61064,Boathouse,Training,n/a,22,< 5,-23.3,0.24,3.3,1.2,41,2.1,2.5,0.81,0.16,0.5,0.42,0.73,0.47,0.67,1.8,1.6,0.04,0.1,0.11
03-11,Tar,34.47064,-120.29425,Sacate,Training,n/a,22,< 5,-23.2,0.23,3.2,1.3,83,2,2.5,0.85,0.17,0.5,0.42,0.71,0.45,0.71,1.7,1.6,0.04,0.12,0.12
03-12,Tar,34.46978,-120.29897,Sacate,Training,n/a,14,< 5,-22.9,0.45,5.4,1.2,9,1,1.1,0.87,0.23,0.32,0.63,0.84,0.44,0.67,1.2,0.61,0.08,0.08,0.22
03-13,Tar,34.40352,-119.74597,Arroyo Burro,Training,n/a,211,< 5,-24.3,0.34,4.3,1.2,20,1.1,1.5,0.83,0.19,0.42,0.53,0.79,0.5,0.67,1.4,0.88,0.06,0.09,0.18
03-18,Tar,34.88434,-120.63879,Casmalia,Training,n/a,22,< 5,-23.5,0.22,3.6,1.1,73,2.1,2.5,0.85,0.16,0.53,0.43,0.73,0.47,0.71,1.8,1.8,0.04,0.12,0.11
03-19,Tar,34.40651,-119.75698,Arroyo Burro,Training,n/a,211,< 5,-23.1,0.37,4.9,1.2,10,1,1.3,0.85,0.18,0.37,0.59,0.8,0.49,0.67,1.4,0.81,0.08,0.08,0.18
03-22,Tar,34.52137,-120.51018,Jalama,Training,n/a,22,< 5,-23.3,0.24,3.2,1.2,71,2,2.4,0.88,0.17,0.48,0.41,0.71,0.45,0.71,1.6,1.8,0.04,0.13,0.11
03-23,Tar,34.4624,-120.09817,Tajiguas,Training,n/a,11,< 5,-22.6,0.67,6.5,1.2,3,0.6,0.78,0.91,0.2,0.29,0.69,0.91,0.41,0.59,0.87,0.37,0.11,0.09,0.32
03-24,Tar,34.46164,-120.09586,Tajiguas,Training,n/a,14,< 5,-23.1,0.53,5.9,1.2,4,0.69,0.85,0.91,0.21,0.3,0.66,0.87,0.4,0.59,1,0.48,0.1,0.07,0.27
03-25,Tar,34.46177,-120.09681,Tajiguas,Training,n/a,11,< 5,-22.5,0.63,6.7,1.2,3,0.6,0.78,0.91,0.21,0.29,0.69,0.89,0.4,0.59,0.89,0.38,0.11,0.08,0.31
03-27,Tar,34.41094,-119.88208,Coal Oil Point,Training,n/a,212,< 5,-23.1,0.34,4.6,1.1,15,1.8,1.7,0.83,0.19,0.4,0.52,0.81,0.49,0.71,1.5,0.99,0.06,0.09,0.17
03-40,Tar,34.88371,-120.63888,Casmalia,Training,n/a,22,< 5,-23.3,0.24,3.4,1.3,76,2,2.5,0.82,0.17,0.53,0.43,0.73,0.48,0.67,1.8,1.6,0.03,0.12,0.11
03-44,Tar,34.50633,-120.50024,Jalama,Training,n/a,22,< 5,-23.4,0.24,3.3,1.1,69,1.9,2.4,0.81,0.17,0.51,0.41,0.71,0.48,0.71,1.6,1.6,0.03,0.11,0.12
03-50,Tar,34.46317,-120.09974,Tajiguas,Training,n/a,14,< 5,-22.8,0.45,5.5,1.2,7,0.94,1.2,0.86,0.23,0.34,0.61,0.84,0.43,0.63,1.3,0.64,0.08,0.08,0.21
03-51,Tar,34.40376,-119.74828,Arroyo Burro,Training,n/a,212,< 5,-23.3,0.32,4.5,1.2,18,1.7,1.8,0.85,0.17,0.43,0.53,0.8,0.48,0.71,1.4,0.96,0.07,0.1,0.15
03-55,Tar,34.40779,-119.87714,Coal Oil Point,Training,n/a,211,< 5,-22.8,0.36,4.7,1.2,14,1.1,1.6,0.82,0.2,0.39,0.55,0.8,0.47,0.67,1.5,0.84,0.07,0.09,0.13
03-62,Tar,34.41852,-119.59487,Loon Point,Training,n/a,22,< 5,-23,0.25,3.2,1.1,58,2.1,2.4,0.84,0.16,0.5,0.42,0.73,0.42,0.67,1.7,1.6,0.03,0.11,0.11
03-64,Tar,34.4703,-120.2933,Sacate,Training,n/a,22,< 5,-23.7,0.25,3.1,1.2,88,2.1,2.5,0.82,0.17,0.51,0.4,0.71,0.44,0.67,1.7,1.7,0.03,0.12,0.12
03-67,Tar,34.55468,-120.61104,Boathouse,Training,n/a,22,< 5,-24.7,0.23,3.3,1.2,78,2.1,2.4,0.81,0.17,0.49,0.44,0.74,0.47,0.71,1.8,1.6,0.03,0.11,0.11
03-69,Tar,34.88425,-120.63888,Casmalia,Training,n/a,22,< 5,-23.5,0.24,3.3,1.2,74,2.1,2.5,0.85,0.16,0.52,0.44,0.72,0.46,0.67,1.7,1.6,0.03,0.11,0.12
03-75,Tar,34.47101,-120.22606,Gaviota,Training,n/a,22,< 5,-23.5,0.24,3.3,1.2,75,2,2.4,0.83,0.16,0.51,0.43,0.72,0.45,0.71,1.7,1.7,0.03,0.1,0.12
03-81,Tar,34.68095,-120.60706,Surf,Training,n/a,34,< 5,-23.1,0.22,2.9,1.1,167,3.8,4.4,0.66,0.11,0.83,0.29,0.65,0.52,0.67,2.2,0.8,0.03,0.14,0.11
03-84,Tar,34.88598,-120.63886,Casmalia,Training,n/a,33,< 5,-23,0.2,3.3,1.2,103,3.4,4.3,0.63,0.08,1.1,0.24,0.7,0.55,0.83,1.9,1.1,0.03,0.14,0.11
03-85,Tar,34.50462,-120.49966,Jalama,Training,n/a,22,< 5,-24.2,0.26,3.5,1.1,69,2,2.4,0.79,0.16,0.47,0.44,0.77,0.51,0.67,1.9,1.5,0.03,0.12,0.12
03-87,Tar,34.40635,-119.75644,Arroyo Burro,Training,n/a,14,< 5,-23,0.43,5.6,1.1,10,1,1.1,0.86,0.2,0.35,0.59,0.84,0.49,0.67,1.4,0.68,0.08,0.09,0.21
03-88,Tar,34.40815,-119.76164,Arroyo Burro,Training,n/a,211,< 5,-23.2,0.38,4.8,1.1,16,0.88,1.1,0.86,0.21,0.38,0.56,0.8,0.51,0.67,1.4,0.81,0.07,0.08,0.2
03-89,Tar,34.40952,-119.87413,Coal Oil Point,Training,n/a,14,< 5,-23.5,0.5,5.3,1.1,9,0.92,1.1,0.86,0.23,0.33,0.64,0.88,0.43,0.63,1.3,0.59,0.09,0.07,0.23
03-90,Tar,34.40872,-119.87571,Coal Oil Point,Training,n/a,211,< 5,-23.1,0.4,4.9,1.2,12,1.1,1.4,0.82,0.2,0.39,0.56,0.84,0.51,0.63,1.4,0.78,0.07,0.08,0.19
03-91,Tar,34.40758,-119.8774,Coal Oil Point,Training,n/a,14,< 5,-23.2,0.43,5.2,1.1,9,0.93,1.1,0.85,0.21,0.34,0.62,0.85,0.44,0.67,1.3,0.66,0.08,0.08,0.2
03-92,Tar,34.40914,-119.8809,Coal Oil Point,Training,n/a,14,< 5,-23.7,0.45,5.2,1.1,9,0.87,1.1,0.83,0.21,0.34,0.61,0.84,0.46,0.67,1.3,0.66,0.08,0.08,0.21
03-93,Tar,34.88367,-120.63889,Casmalia,Training,n/a,33,< 5,-23.2,0.2,3.6,1,101,3.5,4.3,0.64,0.08,1,0.25,0.74,0.6,0.83,2.1,1,0.03,0.13,0.11
03-95,Tar,34.88613,-120.63886,Casmalia,Training,n/a,31,< 5,-23.1,0.24,3,1.1,106,3.4,4,0.6,0.1,0.97,0.3,0.7,0.49,0.83,2,2.2,0.03,0.18,0.1
03-96,Tar,34.88253,-120.63882,Casmalia,Training,n/a,212,< 5,-24.8,0.37,5.3,1.2,58,1.8,1.8,0.77,0.2,0.41,0.53,0.73,0.49,0.67,1.3,0.71,0.04,0.09,0.22
03-102,Tar,34.51149,-120.50303,Jalama,Training,n/a,22,< 5,-23.2,0.23,3.5,1.1,74,2,2.6,0.83,0.17,0.47,0.43,0.76,0.5,0.67,1.8,1.5,0.03,0.12,0.12
03-106,Tar,34.41895,-119.59791,Loon Point,Training,n/a,22,< 5,-23.3,0.26,3.3,1.1,70,2.1,2.4,0.85,0.17,0.47,0.41,0.73,0.48,0.67,1.8,1.7,0.03,0.12,0.12
03-108,Tar,34.47017,-120.28866,Sacate,Training,n/a,212,< 5,-23.7,0.37,4.6,1.2,21,1.5,1.4,0.9,0.19,0.38,0.54,0.79,0.43,0.67,1.2,0.8,0.06,0.07,0.18
03-109,Tar,34.46964,-120.28683,Sacate,Training,n/a,22,< 5,-23.2,0.26,3.4,0.97,79,2,2.4,0.82,0.17,0.48,0.43,0.76,0.5,0.67,1.9,1.6,0.03,0.12,0.11
03-112,Tar,34.47017,-120.28866,Sacate,Training,n/a,22,< 5,-23,0.25,3.6,1.1,49,2,2.4,0.87,0.17,0.48,0.43,0.81,0.5,0.67,1.8,1.6,0.04,0.12,0.12
03-113,Tar,34.46352,-120.10033,Tajiguas,Training,n/a,22,< 5,-23.3,0.25,0,1.1,88,2.1,2.5,0.83,0.16,0.49,0.39,0.8,0.49,0.67,1.9,1.9,0.04,0.12,0.11
03-114,Tar,34.46404,-120.10136,Tajiguas,Training,n/a,14,< 5,-22.9,0.53,5.8,1.2,4,0.69,0.94,0.88,0.22,0.29,0.64,0.88,0.44,0.63,1.1,0.54,0.09,0.07,0.26
03-115,Tar,34.46197,-120.09705,Tajiguas,Training,n/a,22,< 5,-23.7,0.24,3.4,1,64,2.1,2.4,0.89,0.17,0.47,0.42,0.78,0.5,0.67,1.8,1.7,0.03,0.13,0.12
03-116,Tar,34.47094,-120.22825,Gaviota,Training,n/a,14,< 5,-23.6,0.53,5.5,1.2,6,0.77,1,0.88,0.2,0.33,0.64,0.88,0.43,0.63,1.2,0.56,0.09,0.07,0.23
03-117,Tar,34.47093,-120.22745,Gaviota,Training,n/a,14,< 5,-23.1,0.5,5.4,1.1,6,0.81,1,0.87,0.2,0.34,0.64,0.85,0.46,0.63,1.3,0.59,0.09,0.08,0.23
03-118,Tar,34.47081,-120.22688,Gaviota,Training,n/a,14,< 5,-22.8,0.5,5.7,1.1,4,0.71,1,0.86,0.26,0.33,0.62,0.84,0.45,0.63,1.3,0.58,0.08,0.08,0.24
03-119,Tar,34.55465,-120.61065,Boathouse,Training,n/a,14,< 5,-23.4,0.5,5.4,1.1,7,0.86,1.1,0.86,0.23,0.32,0.62,0.86,0.45,0.63,1.3,0.62,0.08,0.08,0.23
03-120,Tar,34.55463,-120.61079,Boathouse,Training,n/a,22,< 5,-23.3,0.26,3.7,1,55,1.9,2.4,0.78,0.16,0.5,0.43,0.75,0.51,0.67,1.7,1.2,0.04,0.11,0.13
03-122,Tar,34.55449,-120.61095,Boathouse,Training,n/a,22,< 5,-23.3,0.3,4,1.1,27,1.4,1.7,0.87,0.19,0.4,0.49,0.81,0.48,0.67,1.8,1.5,0.05,0.12,0.13
03-124,Tar,34.68442,-120.60605,Surf,Training,n/a,22,< 5,-23.3,0.26,3.4,0.96,103,2.1,2.5,0.81,0.15,0.47,0.4,0.82,0.49,0.67,2,1.7,0.04,0.12,0.12
03-125,Tar,34.68211,-120.60686,Surf,Training,n/a,33,< 5,-22.7,0.23,2.9,0.99,91,3.3,3.9,0.69,0.12,0.81,0.28,0.79,0.55,0.67,2.2,0.77,0.03,0.14,0.1
03-128,Tar,34.40801,-119.88002,Coal Oil Point,Training,n/a,14,< 5,-23.2,0.48,5.6,1.1,6,0.77,1,0.88,0.21,0.33,0.64,0.86,0.47,0.67,1.3,0.62,0.1,0.08,0.22
03-129,Tar,34.40918,-119.88118,Coal Oil Point,Training,n/a,14,< 5,-23.4,0.43,5.5,1.1,7,0.69,1,0.87,0.19,0.33,0.61,0.85,0.47,0.67,1.3,0.65,0.09,0.09,0.21
03-130,Tar,34.41141,-119.88315,Coal Oil Point,Training,n/a,14,< 5,-23.6,0.45,5.2,1,9,0.96,1.2,0.85,0.21,0.36,0.59,0.84,0.47,0.67,1.5,0.68,0.08,0.09,0.19
03-131,Tar,34.40699,-119.87768,Coal Oil Point,Training,n/a,14,< 5,-23.2,0.45,5.2,1,5,0.6,0.83,0.86,0.22,0.32,0.67,0.85,0.44,0.63,1.3,0.6,0.09,0.07,0.22
03-141,Tar,34.40512,-119.88253,Coal Oil Point,Training,n/a,22,< 5,-23.6,0.31,4.3,1.1,41,1.2,1.7,0.8,0.17,0.45,0.5,0.78,0.52,0.71,1.9,0.97,0.06,0.09,0.08
03-144,Tar,34.40512,-119.88253,Coal Oil Point,Training,n/a,22,< 5,-23.3,0.3,3.9,1,27,1,1.4,0.82,0.22,0.48,0.49,0.81,0.5,0.67,1.8,1.4,0.04,0.11,0.1
03-145,Tar,34.40512,-119.88253,Coal Oil Point,Training,n/a,211,< 5,-23.3,0.38,5,1.2,22,0.99,1.4,0.82,0.21,0.39,0.57,0.84,0.49,0.71,1.5,0.81,0.07,0.09,0.12
03-154,Tar,34.41738,-119.59129,Loon Point,Training,n/a,22,< 5,-23.5,0.26,3,1.2,98,1.9,2.4,0.84,0.19,0.49,0.43,0.7,0.42,0.71,1.6,1.6,0.03,0.12,0.1
03-155,Tar,34.41827,-119.59617,Loon Point,Training,n/a,212,< 5,-23.4,0.3,4.5,1.4,98,2,2.2,0.85,0.21,0.4,0.54,0.71,0.49,0.63,1.3,1.7,0.05,0.09,0.13
03-160,Tar,34.47023,-120.29736,Sacate,Training,n/a,22,< 5,-23.4,0.24,3.3,1.2,105,2,2.4,0.85,0.16,0.55,0.42,0.71,0.5,0.71,1.8,1.6,0.03,0.12,0.09
03-161,Tar,34.4622,-120.09846,Tajiguas,Training,n/a,212,< 5,-23.3,0.38,4.7,1.2,43,1.3,1.4,0.88,0.21,0.36,0.57,0.75,0.41,0.63,1.1,0.9,0.07,0.08,0.16
03-165,Tar,34.47086,-120.22746,Gaviota,Training,n/a,22,< 5,-23.4,0.25,3.3,1.1,111,2,2.4,0.8,0.16,0.52,0.42,0.71,0.48,0.67,1.7,1.6,0.03,0.12,0.1
03-166,Tar,34.47078,-120.22699,Gaviota,Training,n/a,35,< 5,-23.3,0.29,4.8,1.4,236,4,4.2,0.72,0.12,0.71,0.38,0.64,0.54,0.67,1.3,0.4,0.05,0.07,0.11
03-179,Tar,34.88226,-120.63902,Casmalia,Training,n/a,31,< 5,-23.3,0.25,2.8,1.1,274,3.1,3.8,0.61,0.1,1,0.29,0.68,0.46,0.77,2,2.2,0.03,0.18,0.08
03-187,Tar,34.40329,-119.74638,Arroyo Burro,Training,n/a,14,< 5,-23.1,0.43,5.5,1.2,12,0.92,1.1,0.86,0.23,0.34,0.59,0.82,0.46,0.63,1.3,0.63,0.08,0.07,0.2
03-188,Tar,34.40329,-119.74638,Arroyo Burro,Training,n/a,14,< 5,-23.1,0.48,5.3,1.2,12,0.86,1,0.87,0.22,0.33,0.63,0.82,0.43,0.67,1.2,0.6,0.08,0.07,0.19
03-189,Seep,34.43345,-120.46236,Point Conception,Training,n/a,22,< 5,-23.6,0.23,3.3,1.2,121,2.3,3.1,0.81,0.16,0.52,0.42,0.72,0.49,0.67,1.8,1.6,0.03,0.12,0.09
03-191,Seep,34.44493,-120.04235,West of Coal Oil Point,Training,n/a,14,< 5,-22.8,0.67,6.4,1.1,4,0.65,0.88,0.89,0.15,0.31,0.7,0.92,0.39,0.63,0.9,0.38,0.12,0.07,0.29
03-193,Seep,34.42033,-119.94385,Coal Oil Point,Training,n/a,211,< 5,-23.1,0.4,5.3,1.2,16,1.1,1.4,0.81,0.15,0.41,0.59,0.85,0.47,0.67,1.6,0.76,0.07,0.08,0.12
03-194,Seep,34.4534,-120.14406,West of Coal Oil Point,Training,n/a,14,< 5,-22.9,0.5,5.8,1.2,7,0.88,1.1,0.84,0.19,0.36,0.61,0.86,0.46,0.67,1.3,0.52,0.09,0.07,0.21
03-195,Seep,34.39677,-119.86575,Coal Oil Point,Training,n/a,12,< 5,-24.2,0.5,4.5,1.4,53,0.19,0.15,1.1,0.24,0.32,0.68,1.2,0.24,0.5,0.7,0.14,0.08,0.06,0.2
03-196,Seep,34.45048,-120.09927,Tajiguas,Training,n/a,14,< 5,0,0.48,5.7,1.1,3,0.58,1,0.87,0.02,0.62,0.65,0.89,0.47,0.63,1.2,0.59,0.09,0.08,0.22
04-1,Seep,34.39291,-119.85126,Coal Oil Point,Training,n/a,11,< 5,-22.5,0.83,7.5,1.2,1,0.47,0.59,0.93,0.24,0.24,0.71,0.96,0.35,0.56,0.61,0.24,0.14,0.06,0.42
04-2,Seep,34.3959,-119.8753,Coal Oil Point,Training,n/a,11,< 5,-22.6,0.71,7.1,1.2,2,0.45,0.55,0.89,0.21,0.26,0.71,0.93,0.39,0.56,0.82,0.33,0.12,0.06,0.36
04-3,Seep,34.3959,-119.8753,Coal Oil Point,Training,n/a,11,< 5,-22.6,0.77,7.1,1.2,1,0.43,0.57,0.95,0.23,0.26,0.77,0.92,0.35,0.56,0.7,0.3,0.14,0.06,0.36
04-4,Oil,34.33128,-119.60433,Rincon platforms,Training,n/a,11,< 5,-23.2,0.5,5.6,1.2,21,0.63,0.59,0.93,0.3,0.22,0.71,0.94,0.28,0.48,0.67,0.27,0.08,0.05,0.28
04-5,Tar,34.36281,-119.44917,Mussel Shoals,Training,n/a,14,< 5,-23.1,0.45,5.5,1.2,6,0.93,1.1,0.88,0.21,0.34,0.63,0.82,0.44,0.63,1.2,0.58,0.08,0.07,0.22
04-6,Tar,34.36231,-119.44868,Mussel Shoals,Training,n/a,14,< 5,-23,0.45,5.4,1.2,7,0.94,1.1,0.87,0.23,0.33,0.67,0.85,0.44,0.63,1.2,0.56,0.08,0.07,0.23
04-24,Seep,34.43954,-120.47177,Point Conception,Training,n/a,22,< 5,-23,0.24,3.5,1.2,52,2,2.4,0.8,0.16,0.5,0.43,0.72,0.49,0.71,1.8,1.6,0.03,0.12,0.1
04-34,Seep,34.44184,-120.26537,Sacate,Training,n/a,13,< 5,-23.6,0.63,4.2,1.2,64,0.96,1.1,0.79,0.23,0.29,0.59,0.74,0.38,0.91,1.2,0.87,0.15,0.18,0.29
04-35,Seep,34.38413,-119.88978,Coal Oil Point,Training,n/a,14,< 5,-24.1,0.5,4.5,1.4,5,0.74,1,0.96,0.29,0.29,0.62,0.8,0.35,0.71,0.98,0.6,0.07,0.07,0.19
04-268,Seep,34.40288,-119.87787,Coal Oil Point,Training,n/a,212,< 5,-23,0.29,4.2,1.2,29,1.7,2.1,0.85,0.15,0.48,0.48,0.77,0.53,0.71,1.5,1.1,0.04,0.09,0.13
04-269,Seep,34.40072,-119.88068,Coal Oil Point,Training,n/a,212,< 5,0,0.29,4.3,1.2,31,1.6,2.1,0.83,0.18,0.45,0.53,0.76,0.5,0.71,1.6,0.98,0.05,0.09,0.12
04-270,Tar,34.40072,-119.88068,Coal Oil Point,Training,n/a,22,< 5,-23.1,0.29,3.7,1.1,34,1.6,1.8,0.77,0.18,0.46,0.56,0.68,0.52,0.71,1.6,1.1,0.07,0.12,0.12
04-271,Seep,34.40288,-119.87787,Coal Oil Point,Training,n/a,22,< 5,-23,0.29,4.1,1.1,34,1.7,2,0.81,0.16,0.48,0.48,0.78,0.55,0.71,1.6,1,0.05,0.1,0.14
04-274A,Seep,34.40292,-119.87783,Coal Oil Point,Training,n/a,22,< 5,-23.1,0.26,3.8,1.1,40,1.6,2.2,0.82,0.15,0.51,0.48,0.74,0.55,0.77,1.7,1.1,0.04,0.1,0.11
04-274B,Seep,34.40292,-119.87783,Coal Oil Point,Training,n/a,22,< 5,0,0.26,4.1,1.1,41,1.6,2.2,0.84,0.14,0.49,0.45,0.76,0.55,0.77,1.7,1.1,0.04,0.1,0.11
05-1,Oil,34.37668,-120.16753,XOM Harmony HA-4,Training,n/a,212,< 5,-23.3,0.33,3.8,1.1,32,1.2,1.5,0.85,0.19,0.41,0.53,0.69,0.48,0.67,1.3,0.65,0.04,0.08,0.16
05-2,Oil,34.37668,-120.16753,XOM Harmony HA-7,Training,n/a,22,< 5,-23.3,0.21,3.4,1.1,69,2.4,2.5,0.75,0.19,0.49,0.48,0.73,0.56,0.71,1.4,0.89,0.03,0.09,0.13
05-3,Oil,34.37668,-120.16753,XOM Harmony HA-11,Training,n/a,22,< 5,-23.3,0.29,3.4,1.1,30,1.5,1.7,0.8,0.18,0.46,0.5,0.74,0.52,0.71,1.4,0.9,0.04,0.09,0.14
