Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
99-7,Tar,33.83805,-118.39099,Redondo,Training,n/a,212,< 5,-24,0.33,3.7,1.1,3,2.3,1.3,0.61,0.17,0.54,0.56,0.64,0.45,0.67,1.3,0.31,0.1,0.08,0.14
99-8,Tar,33.81058,-118.39002,Redondo,Training,n/a,35,< 5,-23.3,0.23,5.5,1.2,163,3.7,3.7,0.65,0.1,0.71,0.38,0.7,0.56,0.71,1.6,0.56,0.04,0.08,0.07
99-9,Tar,33.81058,-118.39002,Redondo,Training,n/a,35,< 5,-23.2,0.23,5.8,1.1,163,3.8,4,0.66,0.1,0.76,0.38,0.7,0.57,0.67,1.6,0.43,0.04,0.07,0.07
99-10,Tar,33.77797,-118.42237,Palos Verdes,Training,n/a,35,< 5,-23.3,0.25,5.7,1.2,163,3.6,3.7,0.67,0.1,0.71,0.38,0.71,0.55,0.67,1.7,0.55,0.04,0.08,0.07
99-11,Tar,33.74053,-118.40443,"Point
Palos Verdes",Training,n/a,35,< 5,-23.5,0.26,5.5,1.2,158,3.8,3.8,0.67,0.1,0.76,0.4,0.71,0.55,0.67,1.6,0.4,0.04,0.07,0.07
99-12,Tar,33.748,-118.31317,"Point
Palos Verdes",Training,n/a,35,< 5,-23.3,0.24,5.8,1.2,175,3.7,3.8,0.66,0.1,0.74,0.4,0.69,0.56,0.67,1.6,0.38,0.04,0.07,0.07
99-13,Tar,33.70912,-118.2837,"Point
San Pedro",Training,n/a,35,< 5,-23.3,0.25,5.8,1.2,165,3.7,3.8,0.65,0.1,0.76,0.38,0.71,0.58,0.67,1.5,0.4,0.04,0.07,0.08
99-14,Oil,33.92155,-118.42459,El Segundo field,Training,n/a,13,< 5,-23.9,0.38,5.6,1.1,38,0.57,0.64,0.71,0.28,0.18,0.71,0.78,0.33,0.53,1,0.39,0.09,0.07,0.15
99-15,Oil,33.96907,-118.44986,Playa del Rey field,Training,n/a,13,< 5,-23.7,0.43,5.1,1.2,37,0.92,1,0.72,0.23,0.25,0.77,0.67,0.44,0.53,1,0.15,0.08,0.07,0.18
99-16,Oil,33.85353,-118.32676,Torrance field,Training,n/a,13,< 5,-23.7,0.4,8.2,1.4,15,0.43,0.44,0.75,0.31,0.15,0.77,0.96,0.17,0.5,1,1.7,0.08,0.07,0.16
99-17,Oil,33.77237,-118.24651,Wilmington field,Training,n/a,13,< 5,-22.9,0.37,8.7,1.1,42,0.44,0.51,0.84,0.24,0.19,0.77,0.75,0.43,0.77,1,0.28,0.14,0.12,0.13
99-20,Oil,33.98448,-118.46941,Wilmington field,Training,n/a,13,< 5,-23.5,0.42,7.8,1.2,20,0.71,0.77,0.7,0.23,0.22,0.91,0.65,0.4,0.48,1,0.17,0.11,0.07,0.17
99-21,Oil,34.32578,-118.64462,La Llajas field,Training,n/a,13,< 5,-23.4,0.5,9.9,1.2,7,0.43,0.39,0.78,0.25,0.2,1.04,0.81,0.29,0.53,0.69,0.29,0.08,0.04,0.14
99-23,Oil,33.92997,-118.43163,Wilmington field,Training,n/a,22,< 5,-23.2,0.29,4.9,0.87,167,4,6.9,1,0.15,0.5,0.59,1,0.54,0.45,1.9,2.3,0.01,0.09,0.1
99-27,Tar,33.66752,-118.01814,Huntington,Training,n/a,22,< 5,-23.3,0.19,4,1.3,62,2,2.5,0.7,0.1,0.59,0.45,0.74,0.55,0.77,1.7,1.1,0.03,0.09,0.07
99-28,Tar,33.66787,-118.01858,Huntington,Training,n/a,35,< 5,-23.2,0.26,5.5,1.3,137,3.9,3.9,0.67,0.1,0.73,0.38,0.7,0.56,0.71,1.4,0.42,0.04,0.06,0.07
99-33,Tar,34.0172,-119.87845,Santa Cruz Island,Training,n/a,22,< 5,-23.6,0.21,3.8,1,68,2,2.4,0.69,0.12,0.6,0.38,0.77,0.48,0.71,1.9,1.9,0.03,0.11,0.08
99-36,Tar,34.06145,-119.9199,Santa Cruz Island,Training,n/a,211,< 5,-23.3,0.34,5.4,1,10,1.1,1.4,0.75,0.11,0.42,0.59,0.85,0.46,0.67,1.6,0.9,0.06,0.08,0.09
99-37,Tar,34.06145,-119.9199,Santa Cruz Island,Training,n/a,22,< 5,-23.6,0.22,4,1,47,2,2.4,0.72,0.13,0.51,0.48,0.78,0.51,0.71,2,1.5,0.03,0.11,0.07
99-38,Tar,34.06145,-119.9199,Santa Cruz Island,Training,n/a,22,< 5,-23.4,0.27,4.4,1,30,1.4,1.7,0.71,0.11,0.5,0.5,0.77,0.49,0.67,1.9,1.1,0.04,0.1,0.08
99-39,Tar,34.06262,-119.91708,Santa Cruz Island,Training,n/a,22,< 5,-23.6,0.23,4.2,1,40,1.6,1.9,0.74,0.13,0.5,0.48,0.78,0.48,0.71,1.9,1.4,0.04,0.1,0.07
99-43,Tar,33.96947,-119.70528,Santa Cruz Island,Training,n/a,35,< 5,-23.4,0.24,5.7,1.3,144,3.8,3.9,0.64,0.09,0.73,0.38,0.68,0.55,0.71,1.5,0.4,0.04,0.06,0.07
99-44,Tar,33.96947,-119.70528,Santa Cruz Island,Training,n/a,35,< 5,-23.5,0.24,5.8,1.2,149,4,4,0.64,0.09,0.81,0.36,0.69,0.56,0.71,1.5,0.45,0.03,0.06,0.07
99-45,Tar,33.96787,-119.7083,Santa Cruz Island,Training,n/a,22,< 5,-23.6,0.31,3.9,0.96,60,1.3,1.7,0.7,0.14,0.45,0.43,0.75,0.42,0.67,1.7,1.6,0.04,0.1,0.09
